Compound_Name,Acitivity,Pt,N1,N2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,HOMO,LUMO,μ,η,ω,polar_iso(au),polar_aniso(au),dipole(Debye),volume(Bohr_radius³/mol),SASA_surface_area(Å²),SASA_volume(Å³),SASA_sphericity,NMR_isotropic_shielding_Pt,NMR_isotropic_shielding_N1,NMR_isotropic_shielding_N2,distance_Pt_N1(Å),distance_Pt_N2(Å),angle_N1_Pt_N2(°),%Vbur_Pt_2.0Å,%Vbur_N1_2.0Å,%Vbur_N2_2.0Å,%Vbur_Pt_2.5Å,%Vbur_N1_2.5Å,%Vbur_N2_2.5Å,%Vbur_Pt_3.0Å,%Vbur_N1_3.0Å,%Vbur_N2_3.0Å,%Vbur_Pt_3.5Å,%Vbur_N1_3.5Å,%Vbur_N2_3.5Å,%Vbur_Pt_4.0Å,%Vbur_N1_4.0Å,%Vbur_N2_4.0Å,Sterimol_L_Pt_N1(Å)_morfeus,Sterimol_B1_Pt_N1(Å)_morfeus,Sterimol_B5_Pt_N1(Å)_morfeus,Sterimol_L_Pt_N2(Å)_morfeus,Sterimol_B1_Pt_N2(Å)_morfeus,Sterimol_B5_Pt_N2(Å)_morfeus,Buried_Sterimol_L_Pt_N1_5.0(Å),Buried_Sterimol_B1_Pt_N1_5.0(Å),Buried_Sterimol_B5_Pt_N1_5.0(Å),Buried_Sterimol_L_Pt_N2_5.0(Å),Buried_Sterimol_B1_Pt_N2_5.0(Å),Buried_Sterimol_B5_Pt_N2_5.0(Å),Sterimol_B1_Pt_N1(Å)_dbstep,Sterimol_B5_Pt_N1(Å)_dbstep,Sterimol_L_Pt_N1(Å)_dbstep,Sterimol_B1_Pt_N2(Å)_dbstep,Sterimol_B5_Pt_N2(Å)_dbstep,Sterimol_L_Pt_N2(Å)_dbstep,Sterimol_Bmin_Pt_N1_0.0Å(Å),Sterimol_Bmax_Pt_N1_0.0Å(Å),Sterimol_Bmin_Pt_N1_1.0Å(Å),Sterimol_Bmax_Pt_N1_1.0Å(Å),Sterimol_Bmin_Pt_N2_0.0Å(Å),Sterimol_Bmax_Pt_N2_0.0Å(Å),Sterimol_Bmin_Pt_N2_1.0Å(Å),Sterimol_Bmax_Pt_N2_1.0Å(Å),Hirsh_charge_Pt,Hirsh_CM5_charge_Pt,Hirsh_atom_dipole_Pt,Hirsh_charge_N1,Hirsh_CM5_charge_N1,Hirsh_atom_dipole_N1,Hirsh_charge_N2,Hirsh_CM5_charge_N2,Hirsh_atom_dipole_N2,G(T)_spc(Hartree)
carboplatin-conf_1,1,1,2,3,,,,,,,,,,,,,,,,-0.22373,-0.05916,-0.14144500000000002,0.16457000000000002,0.06078,127.889,54.9809,13.311,1377.85,381.306177555177,580.4490839525248,0.8825101382084821,172.7857,151.2664,131.4188,1.55126,2.18578,46.266,95.31572830578511,96.68775826446281,99.83535640495867,78.58933454876937,84.30134132048444,97.66245604896471,62.99724374255066,71.71763259833135,91.29078516090584,51.98413622810287,62.61763883712263,80.1464079388744,41.63925268450127,53.35601452423809,63.732465396313074,8.544651570460177,1.7,4.933212199800831,7.66371851443782,2.824116407744663,6.023215345984459,7.06352313310973,1.7,4.933212199800831,6.797850773354231,2.824116407744663,4.5079899714877865,1.6829226620972686,4.923921201644072,8.100000000000001,2.795577018187646,6.008327554319921,7.250000000000002,1.6873284577902474,4.756574397610111,1.6500000000000001,4.923921201644071,2.3141648585444594,3.1976553910638956,2.5048222380205676,3.9044846010709273,-0.052448,-0.156202,0.15716881197616786,-0.053563,-0.153669,0.1579360453538077,-0.006973,-0.015124,0.03723332526111521,-765.639735
Carboplatin,1,1,2,3,,,,,,,,,,,,,,,,-0.22374,-0.05915,-0.141445,0.16459,0.06078,127.891,54.9884,13.3091,1279.621,381.53617496513857,580.9406858725442,0.8824760584104705,172.7741,162.394,131.4071,1.55138,2.18571,45.165,95.31572830578511,95.64178719008265,99.84826962809917,78.60561270998828,82.56608933454876,97.67059512957417,63.01214243146603,69.62902264600716,91.31220202622168,51.98879519194931,59.54330506895267,80.17610883339546,41.64856309353858,48.84744894792378,63.70065483210229,5.112550021193483,1.7,8.132864139904664,7.66698191571408,2.824278748016562,6.023690828662641,5.112550021193483,1.7,6.833330399441935,6.79806696087091,2.824278748016562,4.5081266979349595,1.6873284577902468,8.119421161634616,4.699999999999999,2.7955770181876463,6.008327554319921,7.250000000000002,1.6791746048126608,8.056208785775107,1.6500000000000004,8.119421161634616,2.3141648585444594,3.1976553910638956,2.5048222380205676,3.9044846010709273,-0.052453,-0.156206,0.1571797551881285,-0.054553,-0.153733,0.15562876318984226,-0.006964,-0.015113,0.0372636995345336,-765.63973
CHEMBL1386-conf_1,0,1,2,3,,,,,,,,,,,,,,,,-0.21884,-0.05624,-0.13754,0.16260000000000002,0.05817,79.6774,38.042,0.1462,1214.306,277.9591664036476,386.7954321333892,0.9236143709249823,-97.2727,1079.1527,257.0953,2.35693,2.07367,90.001,78.83199896694215,34.49767561983471,93.12370867768594,74.93000390675869,33.14233624169814,72.07807006120589,69.08801400476759,31.606637365911798,55.24526966626937,60.31203410361535,29.592573611628776,44.997437569884454,48.05334864378375,26.780227794674445,37.29129166408044,4.506933547055549,1.7923369166824654,3.716905800801018,4.023671150645514,1.7714362651331639,4.106932787931508,4.506933547055549,1.7923369166824654,3.716905800801018,4.023671150645514,1.7714362651331639,4.106932787931508,1.75,3.7047267105685413,4.1000000000000005,1.7500000000000007,4.102742984882188,3.6,1.5500000000000003,3.7047267105685404,1.7,3.7047267105685404,1.7,4.102742984882188,1.7500000000000002,4.102742984882188,0.089830,0.347271,0.3473015583365557,-0.364593,-0.402019,0.4058854352191022,-0.092915,-0.718834,0.7235948650315313,-1153.065437
CHEMBL1743583-conf_1,0,1,3,4,1.0,3.0,2.0,1.0,3.0,5.0,1.0,4.0,2.0,1.0,4.0,5.0,1.0,2.0,5.0,-0.54203,-0.35662,-0.449325,0.18541000000000002,0.54445,142.439,31.4176,4.3115,1699.136,387.5685748616471,623.526361446003,0.9106932438420436,-175.6372,211.9777,215.5408,2.09553,2.14141,94.779,99.26394628099173,97.55617252066115,97.54325929752066,98.62286756088032,85.94543560359422,87.26071103008204,95.67193087008343,75.33801400476759,77.9369040524434,88.50284196794634,66.86020778978755,70.14594204248975,75.24556203835888,58.25290174414995,61.94874619824964,5.4183751364974295,3.3033395561144587,5.095206611942235,5.43590142051886,3.2373261146951,5.631065559425323,5.4183751364974295,3.3033395561144587,5.095206611942235,5.43590142051886,3.2373261146951,5.631065559425323,3.2940314758875857,5.076662289339326,4.999999999999999,3.2331780045855485,5.615380663855301,5.0,3.2940314758875857,5.0766622893393265,3.2825465656879036,5.0766622893393265,3.2331780045855485,5.615380663855301,3.189385842803582,5.615380663855301,0.517523,0.992858,0.9928650780267176,-0.043901,-0.569349,0.5762751479883546,-0.059560,-0.576080,0.5835014383435572,-730.039879
CHEMBL1743583-conf_2,0,1,3,5,1.0,3.0,2.0,1.0,3.0,4.0,1.0,5.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,-0.52242,-0.36502,-0.44372,0.15739999999999998,0.62544,144.52,52.8316,0.0001,1602.09,390.0684823361742,625.1027743329792,0.9063811845653955,-182.0822,207.9249,207.9242,2.10615,2.10614,89.797,99.25103305785123,97.59491219008265,97.59491219008265,98.25498111733299,86.24983721838781,86.2514650345097,94.82270560190703,75.59222288438617,75.59501638855781,88.13711330600074,66.86079016026835,66.86195490122996,75.11987151635529,58.166780460554904,58.16561665942523,5.419961892131618,3.291001580849036,5.068660905975948,5.41995761731269,3.2909134098780832,5.068666274543274,5.419961892131618,3.291001580849036,5.068660905975948,5.41995761731269,3.2909134098780832,5.068666274543274,3.2910035164010405,5.042072986381693,4.999999999999999,3.29100351640104,5.042072986381693,4.999999999999999,3.29100351640104,5.042072986381693,3.2529232111064807,5.042072986381693,3.2910035164010396,5.042072986381693,3.2529232111064803,5.042072986381693,0.515802,0.991653,0.9916530000010084,-0.043153,-0.566774,0.5730282105943826,-0.043152,-0.566774,0.5730281019950069,-730.035034
CHEMBL1743583,0,1,2,3,1.0,2.0,4.0,1.0,2.0,5.0,1.0,3.0,4.0,1.0,3.0,5.0,1.0,4.0,5.0,-0.52558,-0.3664,-0.44599,0.15918000000000004,0.62479,144.037,48.3039,2.0093,1504.172,390.17877554927543,624.5256347565675,0.9055671558251137,-183.121,219.8388,215.9584,2.11887,2.1124,92.28,99.22843491735537,97.45932334710744,97.51420454545455,98.15080088553198,85.4326735251986,85.76800364630812,94.89068087008343,74.64522497020262,75.22627383790227,88.16506708907939,66.24405982109579,66.82468319045844,75.37784743343057,57.84673514989759,58.28975544658929,5.376981706733009,3.2337451550388394,5.054469033782759,5.418969360170655,3.2942811185223713,5.046807609475074,5.376981706733009,3.2337451550388394,5.054469033782759,5.418969360170655,3.2942811185223713,5.046807609475074,3.226185102677869,5.042072986381692,4.95,3.2931782239253744,5.031152949374527,5.0,3.226185102677868,5.042072986381692,3.225352077758099,5.042072986381692,3.2931782239253735,5.031152949374527,3.2931782239253735,5.031152949374527,0.517395,0.992478,0.9927019399704021,-0.046169,-0.567678,0.5736788367806503,-0.047562,-0.569946,0.5762993770159741,-730.030669
CHEMBL1743584,0,1,5,4,1.0,5.0,2.0,1.0,5.0,3.0,1.0,4.0,2.0,1.0,4.0,3.0,1.0,2.0,3.0,-0.4365,-0.34525,-0.390875,0.09125,0.83717,256.302,109.507,4.3003,3230.516,617.6348590171499,1052.1200335380668,0.809958035794922,-202.9185,215.9108,217.0323,2.10803,2.12041,85.368,99.21229338842976,98.05010330578511,98.07915805785123,99.28050527412424,88.72574553978383,88.64109910144549,98.3350715137068,80.19964243146603,79.57482866507746,94.10524599329109,72.87027115169586,71.46151695862841,85.1681304698653,65.26945875488796,63.13892682018497,5.403783050648219,4.258646991326254,9.662104075595915,5.4240451531077465,4.551975314254974,9.51878617241644,5.403783050648219,4.258646991326254,7.065578448735889,5.4240451531077465,4.313927148771389,7.107272223963036,4.233297950170034,9.644946863513558,4.95,4.5369546181365425,9.496446703899307,5.0,4.233297950170034,9.644946863513558,3.908933930078253,9.644946863513558,4.2764035740939805,9.06228448019593,3.9778587025691285,9.496446703899307,0.535329,1.019788,1.0198154787303435,-0.047700,-0.571772,0.5775689946681695,-0.051027,-0.573127,0.5791386581786784,-1491.139056
CHEMBL1743586,0,1,3,2,1.0,3.0,5.0,1.0,3.0,4.0,1.0,2.0,5.0,1.0,2.0,4.0,1.0,5.0,4.0,-0.5256,-0.3664,-0.44599999999999995,0.15919999999999995,0.62474,144.038,48.3079,2.0088,1721.242,389.7387753637308,623.8423088922667,0.9059280881804983,-183.1172,219.8375,215.9592,2.11896,2.11239,92.279,99.25426136363636,97.45286673553719,97.4819214876033,98.16056778226331,85.41802318010157,85.84451100403699,94.88788736591181,74.64801847437425,75.26258939213349,88.15109019754007,66.2574543421543,66.86370201267238,75.33750232760225,57.854881757805224,58.31264353547267,5.377047594094489,3.2338043211706946,5.054480736656727,5.419066749505979,3.293597856632611,5.046742123095385,5.377047594094489,3.2338043211706946,5.054480736656727,5.419066749505979,3.293597856632611,5.046742123095385,3.2261851026778694,5.042072986381692,4.95,3.293178223925374,5.031152949374527,5.0,3.226185102677869,5.042072986381692,3.2253520777580986,5.042072986381692,3.293178223925374,5.031152949374527,3.293178223925374,5.031152949374527,0.517385,0.992471,0.9926947547050906,-0.046177,-0.567661,0.5736625947183588,-0.047578,-0.569957,0.5763094323043829,-730.030656
CHEMBL1743591,0,1,3,2,1.0,3.0,4.0,1.0,3.0,5.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,4.0,5.0,-0.43729,-0.35287,-0.39508,0.08442,0.92447,280.981,107.465,3.4254,3523.45,679.883916234493,1153.1560640218815,0.7821824761696787,-207.3645,210.0236,203.2468,2.11562,2.12103,86.269,99.18323863636364,98.01459194214877,98.44072830578511,99.1453965360073,90.18264096887616,89.97428050527412,97.77357717520859,82.78177145411205,81.52469457687724,93.82687290346627,76.195024226612,73.92785594483787,85.34580410899385,68.60530072621191,66.17916330457452,5.504264467336052,4.974773743576652,9.65072255972778,5.528831493180274,4.883945026459982,9.724936548400953,5.504264467336052,4.637729484237518,7.145198084280682,5.528831493180274,4.658286780384239,7.145231763654123,4.9665776381229945,9.637556744320628,5.049999999999999,4.881032968011356,9.701546268507924,5.099999999999999,4.573556732200016,9.637556744320628,4.685557540211811,9.637556744320628,4.740394630835877,9.701546268507924,4.647126633444537,9.532313465261202,0.536520,1.010512,1.0105362060732908,-0.046850,-0.573594,0.5788044881564068,-0.054945,-0.578299,0.5841111693701808,-1569.687232
CHEMBL1743593-conf_10,0,1,3,5,1.0,3.0,2.0,1.0,3.0,4.0,1.0,5.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,-0.53716,-0.32731,-0.432235,0.20984999999999998,0.44514,122.742,51.1403,0.0003,1443.747,378.9398492959477,585.0294132862688,0.8926865281755016,-82.562,232.2456,237.0399,2.11284,2.10788,88.336,77.69240702479338,97.89837293388429,97.5884555785124,75.90832139601511,84.57969787732777,84.79945305378305,73.60231674612633,71.48856525625746,72.18787246722287,69.51814666418188,61.11803484904957,61.945583302273576,61.91577183290919,51.22509465582521,52.21199801377941,5.371371042029225,2.7714187511226465,4.968595298503815,5.337340737375239,2.8531843957658323,4.9692924714410465,5.371371042029225,2.7714187511226465,4.968595298503815,5.337340737375239,2.8531843957658323,4.9692924714410465,2.768159214850785,4.952019789944302,4.950000000000001,2.8196438138407713,4.952019789944301,4.9,2.4448949886337075,4.942165517260627,2.4448949886337075,4.952019789944302,2.6362772446499663,4.938117050050556,1.91216301315295,4.952019789944301,0.217983,0.564970,0.56497000001593,-0.057315,-0.576708,0.5831199905242488,-0.057905,-0.578048,0.5843192945487938,-578.427574
