Compound_Name,Activity,HOMO,LUMO,μ,η,ω,polar_iso(au),polar_aniso(au),dipole(Debye),volume(Bohr_radius³/mol),SASA_surface_area(Å²),SASA_volume(Å³),SASA_sphericity,NMR_isotropic_shielding_Pt,NMR_isotropic_shielding_N1,NMR_isotropic_shielding_N2,distance_Pt_N1(Å),distance_Pt_N2(Å),angle_N1_Pt_N2(°),%Vbur_Pt_2.0Å,%Vbur_N1_2.0Å,%Vbur_N2_2.0Å,%Vbur_Pt_2.5Å,%Vbur_N1_2.5Å,%Vbur_N2_2.5Å,%Vbur_Pt_3.0Å,%Vbur_N1_3.0Å,%Vbur_N2_3.0Å,%Vbur_Pt_3.5Å,%Vbur_N1_3.5Å,%Vbur_N2_3.5Å,%Vbur_Pt_4.0Å,%Vbur_N1_4.0Å,%Vbur_N2_4.0Å,Sterimol_L_Pt_N1(Å)_morfeus,Sterimol_B1_Pt_N1(Å)_morfeus,Sterimol_B5_Pt_N1(Å)_morfeus,Sterimol_L_Pt_N2(Å)_morfeus,Sterimol_B1_Pt_N2(Å)_morfeus,Sterimol_B5_Pt_N2(Å)_morfeus,Buried_Sterimol_L_Pt_N1_5.0(Å),Buried_Sterimol_B1_Pt_N1_5.0(Å),Buried_Sterimol_B5_Pt_N1_5.0(Å),Buried_Sterimol_L_Pt_N2_5.0(Å),Buried_Sterimol_B1_Pt_N2_5.0(Å),Buried_Sterimol_B5_Pt_N2_5.0(Å),Sterimol_B1_Pt_N1(Å)_dbstep,Sterimol_B5_Pt_N1(Å)_dbstep,Sterimol_L_Pt_N1(Å)_dbstep,Sterimol_B1_Pt_N2(Å)_dbstep,Sterimol_B5_Pt_N2(Å)_dbstep,Sterimol_L_Pt_N2(Å)_dbstep,Sterimol_Bmin_Pt_N1_0.0Å(Å),Sterimol_Bmax_Pt_N1_0.0Å(Å),Sterimol_Bmin_Pt_N1_1.0Å(Å),Sterimol_Bmax_Pt_N1_1.0Å(Å),Sterimol_Bmin_Pt_N2_0.0Å(Å),Sterimol_Bmax_Pt_N2_0.0Å(Å),Sterimol_Bmin_Pt_N2_1.0Å(Å),Sterimol_Bmax_Pt_N2_1.0Å(Å),Hirsh_charge_Pt,Hirsh_CM5_charge_Pt,Hirsh_atom_dipole_Pt,Hirsh_charge_N1,Hirsh_CM5_charge_N1,Hirsh_atom_dipole_N1,Hirsh_charge_N2,Hirsh_CM5_charge_N2,Hirsh_atom_dipole_N2
CHEMBL1386,0,-0.21884,-0.05624,-0.13754,0.1626,0.05817,79.6774,38.042,0.1462,1214.306,277.9591664036476,386.7954321333892,0.9236143709249824,-97.2727,1079.1527,257.0953,2.35693,2.07367,90.001,78.83199896694215,34.49767561983471,93.12370867768594,74.93000390675869,33.14233624169814,72.07807006120589,69.08801400476759,31.6066373659118,55.24526966626937,60.31203410361535,29.592573611628776,44.99743756988445,48.05334864378375,26.780227794674445,37.29129166408044,4.506933547055549,1.7923369166824654,3.716905800801018,4.023671150645514,1.771436265133164,4.106932787931508,4.506933547055549,1.7923369166824654,3.716905800801018,4.023671150645514,1.771436265133164,4.106932787931508,1.75,3.704726710568541,4.1000000000000005,1.7500000000000009,4.102742984882188,3.6,1.5500000000000005,3.704726710568541,1.7,3.704726710568541,1.7,4.102742984882188,1.7500000000000002,4.102742984882188,0.08983,0.347271,0.3473015583365557,-0.364593,-0.402019,0.4058854352191022,-0.092915,-0.718834,0.7235948650315313
CHEMBL1743583,0,-0.52242,-0.36502,-0.44372,0.1573999999999999,0.62544,144.52,52.8316,0.0001,1602.09,390.0684823361742,625.1027743329792,0.9063811845653956,-182.0822,207.9249,207.9242,2.10615,2.10614,89.797,99.25103305785125,97.59491219008264,97.59491219008264,98.254981117333,86.24983721838781,86.2514650345097,94.82270560190705,75.59222288438617,75.59501638855781,88.13711330600074,66.86079016026835,66.86195490122996,75.11987151635529,58.1667804605549,58.16561665942523,5.419961892131618,3.291001580849036,5.068660905975948,5.41995761731269,3.2909134098780832,5.068666274543274,5.419961892131618,3.291001580849036,5.068660905975948,5.41995761731269,3.2909134098780832,5.068666274543274,3.2910035164010405,5.042072986381693,4.999999999999999,3.29100351640104,5.042072986381693,4.999999999999999,3.29100351640104,5.042072986381693,3.2529232111064807,5.042072986381693,3.29100351640104,5.042072986381693,3.2529232111064803,5.042072986381693,0.515802,0.991653,0.9916530000010084,-0.043153,-0.566774,0.5730282105943826,-0.043152,-0.566774,0.5730281019950069
CHEMBL1743584,0,-0.4365,-0.34525,-0.390875,0.09125,0.83717,256.302,109.507,4.3003,3230.516,617.6348590171499,1052.1200335380668,0.809958035794922,-202.9185,215.9108,217.0323,2.10803,2.12041,85.368,99.21229338842976,98.05010330578511,98.07915805785125,99.28050527412424,88.72574553978383,88.64109910144549,98.3350715137068,80.19964243146603,79.57482866507746,94.10524599329108,72.87027115169586,71.46151695862841,85.1681304698653,65.26945875488796,63.13892682018497,5.403783050648219,4.258646991326254,9.662104075595916,5.4240451531077465,4.551975314254974,9.51878617241644,5.403783050648219,4.258646991326254,7.065578448735889,5.4240451531077465,4.313927148771389,7.107272223963036,4.233297950170034,9.644946863513558,4.95,4.536954618136543,9.496446703899307,5.0,4.233297950170034,9.644946863513558,3.908933930078253,9.644946863513558,4.2764035740939805,9.06228448019593,3.977858702569129,9.496446703899307,0.535329,1.019788,1.0198154787303435,-0.0477,-0.571772,0.5775689946681695,-0.051027,-0.573127,0.5791386581786784
CHEMBL1743591,0,-0.43729,-0.35287,-0.39508,0.08442,0.92447,280.981,107.465,3.4254,3523.45,679.883916234493,1153.1560640218815,0.7821824761696787,-207.3645,210.0236,203.2468,2.11562,2.12103,86.269,99.18323863636364,98.01459194214875,98.44072830578511,99.1453965360073,90.18264096887616,89.97428050527412,97.7735771752086,82.78177145411205,81.52469457687724,93.82687290346628,76.195024226612,73.92785594483787,85.34580410899385,68.60530072621191,66.17916330457452,5.504264467336052,4.974773743576652,9.65072255972778,5.528831493180274,4.883945026459982,9.724936548400953,5.504264467336052,4.637729484237518,7.145198084280682,5.528831493180274,4.658286780384239,7.145231763654123,4.9665776381229945,9.637556744320628,5.049999999999999,4.881032968011356,9.701546268507924,5.099999999999999,4.573556732200016,9.637556744320628,4.685557540211811,9.637556744320628,4.740394630835877,9.701546268507924,4.647126633444537,9.532313465261202,0.53652,1.010512,1.0105362060732908,-0.04685,-0.573594,0.5788044881564068,-0.054945,-0.578299,0.5841111693701808
CHEMBL1743593,0,-0.53536,-0.32763,-0.4314949999999999,0.2077299999999999,0.44815,123.112,52.3686,0.2183,1105.139,379.7097738162418,584.931034673576,0.8907765821798626,-92.6386,234.1595,237.0874,2.10915,2.11501,178.444,77.43737086776859,97.47869318181816,97.70144628099172,75.47206667534834,84.18739419195208,84.7538742023701,73.16094308700835,71.4075536352801,71.99046483909416,68.98818952664926,61.15588893030191,61.7994083115915,61.27800881385389,51.370569797033085,52.11229905033827,5.376377839289647,2.554162837430749,5.056205711401315,5.305923625383181,2.521854263455355,5.048662433585853,5.376377839289647,2.554162837430749,5.056205711401315,5.305923625383181,2.521854263455355,5.048662433585853,2.5478118800310225,5.020209158989295,4.95,2.4837021661326304,5.024937810560445,4.8500000000000005,2.025786861763476,5.020209158989295,2.016246411994649,5.020209158989295,2.016020393570124,5.024937810560445,2.456597671504737,4.958074222921639,0.219326,0.564592,0.5647729824805716,-0.05688,-0.576429,0.5827326950987047,-0.056983,-0.575933,0.5825180573089559
CHEMBL1743594,0,-0.49572,-0.33121,-0.4134649999999999,0.16451,0.51958,272.022,98.3452,0.8403,3361.031,590.0368266449149,1064.4609763744295,0.8544595385886186,-208.8483,216.8652,225.5416,2.11454,2.11679,93.718,99.23489152892562,98.31159607438018,97.73050103305783,98.821461127751,91.89022008073968,89.25478577939836,97.2493295589988,86.1144219308701,82.10294994040524,94.69926388371226,79.92044819232203,76.00517144986955,88.9861740425796,72.61226801564149,69.43974613618025,5.673272257307207,3.9723532467294302,7.011599487357911,5.412372526034048,4.396026635264219,7.165242627298431,5.3859321627297305,3.9723532467294302,6.523157774294175,5.412372526034048,4.396026635264219,6.847902454038996,3.969786181219981,6.991602105383286,5.249999999999999,4.390565873340133,7.150174823037546,5.0,3.969786181219981,6.668208155119334,3.549582410752915,6.491918052471088,4.390565873340133,7.136000280269053,4.121200962794288,7.036511919978534,0.538306,1.022645,1.0226558705586155,-0.060824,-0.587593,0.5930714313217254,-0.053814,-0.577487,0.582573054475574
CHEMBL177920,0,-0.21492,-0.05052,-0.13272,0.1644,0.05357,148.374,77.4804,15.6999,1947.667,411.33628236929707,641.2552979156632,0.8742609556905978,-136.4794,232.4823,232.8288,2.11223,2.11116,83.176,79.45183367768594,97.07192665289256,97.08806818181816,76.76292486000781,81.84171116030733,81.9182185180362,72.47187872467224,67.6540151966627,67.65587753277713,66.17301062243757,56.81024040253448,56.49867219530377,57.74160511451804,46.97566879771585,46.64864068028055,5.129427173546691,2.229237254506696,5.982867197691631,5.129513529253288,2.129642775331317,5.8568059417968605,5.129427173546691,2.229237254506696,5.982867197691631,5.129513529253288,2.129642775331317,5.430428090018486,2.2271134949404026,5.9625917183721375,4.699999999999999,2.136408260209449,5.8405907235484325,4.699999999999999,1.7974458669326343,5.51837838499681,2.0647886958779877,4.886972477925367,1.9376086128509051,5.413409276971398,2.0132679743110304,4.828301978956991,0.169295,0.495793,0.4959965401482151,-0.068455,-0.589029,0.59502076665861,-0.068003,-0.58879,0.5947446236822995
CHEMBL1794811,0,-0.45338,-0.35275,-0.403065,0.10063,0.80722,271.748,177.51,0.4991,3269.097,640.314343015699,1061.7364620966669,0.7860232321108788,-201.5068,216.1344,216.1216,2.11757,2.11758,85.231,99.24780475206612,98.072701446281,98.10175619834712,99.29515561922123,88.61993749186092,88.57924208881364,97.87228098927294,79.50499106078665,79.4919547079857,93.28526835631756,71.38639116660454,71.4155096906448,83.92868226677426,63.05707280739868,63.05552107255912,5.4260261360223705,4.643593584666487,9.579548576653757,5.426018298484659,4.6420972495774055,9.579495964059005,5.4260261360223705,4.22516980815681,7.014126939998317,5.426018298484659,4.225416983439589,7.01412292361503,4.631481726048044,9.552094011262662,4.999999999999999,4.631481726048043,9.552094011262662,4.999999999999999,4.631481726048044,9.503288904374108,4.377670138899372,9.552094011262662,4.631481726048043,9.503288904374108,4.37767013889937,9.552094011262662,0.535475,1.020049,1.020119864829619,-0.049777,-0.571641,0.5777160415480947,-0.049752,-0.571635,0.5777094019955016
CHEMBL2068442,0,-0.21667,-0.042,-0.129335,0.17467,0.04788,159.884,81.4632,15.0073,2370.226,429.3064835920142,678.1757829260426,0.8695172362048329,-126.3811,230.5407,230.6711,2.09824,2.09693,94.952,79.48411673553719,97.50129132231406,97.51097623966942,77.11127751009246,83.6127751009246,83.68765464253158,73.76433998808105,70.1597884386174,70.19982866507746,68.26546775997018,59.73082836377189,59.446049198658216,60.12080255725901,50.16681149525169,49.88206815219415,5.341353181479191,2.666742554873458,6.073122081196452,5.3418044603926,2.6900937391429567,5.982432442174188,5.341353181479191,2.666742554873458,6.073122081196452,5.3418044603926,2.6900937391429567,5.599707502940026,2.643009295037766,6.051859218455102,4.9,2.688543262892056,5.970343373709756,4.9,2.4133089842833937,5.833095233235953,2.509251902301385,5.33127564472144,2.4441737170240656,5.515432893255071,2.520051264833836,5.285120623032174,0.171405,0.50108,0.5025141724459122,-0.069617,-0.594312,0.6001169706823828,-0.069321,-0.594186,0.599967746747273
CHEMBL308885,0,-0.22811,-0.08784,-0.157975,0.14027,0.08896,316.442,103.566,8.9939,3549.546,673.3383050961033,1120.0442893574943,0.7745942469755066,-111.3478,1046.5821,1049.9049,2.35632,2.36697,177.344,80.40741219008265,35.960098140495866,36.954416322314046,78.90187524417242,38.3920432347962,39.4273342883188,76.25707687723481,39.5373957091776,40.22180423122765,71.34620760342901,38.95534383153187,39.25526462914648,63.15328036745081,36.956892806157285,36.87309912482155,5.543911097904923,1.8590671757216584,9.656769742581316,4.51697435655529,1.8587248604229103,9.688896410687624,4.5063156180214055,1.8590671757216584,7.07620422239497,4.51697435655529,1.8587248604229103,7.073752360331146,1.85,9.63807553404724,5.1000000000000005,1.85,9.667600529604025,4.099999999999999,1.550000000000001,9.63807553404724,1.6999999999999993,9.474439297393804,1.6000000000000003,9.667600529604025,1.7000000000000002,9.667600529604025,0.115,0.378936,0.3896163266163265,-0.327172,-0.36547,0.3723796384457668,-0.336504,-0.374546,0.3846413764482443
