log_name,Pt,N1,N2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,HOMO,LUMO,μ,η,ω,polar_iso(au),polar_aniso(au),dipole(Debye),volume(Bohr_radius³/mol),SASA_surface_area(Å²),SASA_volume(Å³),SASA_sphericity,NMR_isotropic_shielding_Pt,NMR_isotropic_shielding_N1,NMR_isotropic_shielding_N2,distance_Pt_N1(Å),distance_Pt_N2(Å),angle_N1_Pt_N2(°),%Vbur_Pt_2.0Å,%Vbur_N1_2.0Å,%Vbur_N2_2.0Å,%Vbur_Pt_2.5Å,%Vbur_N1_2.5Å,%Vbur_N2_2.5Å,%Vbur_Pt_3.0Å,%Vbur_N1_3.0Å,%Vbur_N2_3.0Å,%Vbur_Pt_3.5Å,%Vbur_N1_3.5Å,%Vbur_N2_3.5Å,%Vbur_Pt_4.0Å,%Vbur_N1_4.0Å,%Vbur_N2_4.0Å,Sterimol_L_Pt_N1(Å)_morfeus,Sterimol_B1_Pt_N1(Å)_morfeus,Sterimol_B5_Pt_N1(Å)_morfeus,Sterimol_L_Pt_N2(Å)_morfeus,Sterimol_B1_Pt_N2(Å)_morfeus,Sterimol_B5_Pt_N2(Å)_morfeus,Buried_Sterimol_L_Pt_N1_5.0(Å),Buried_Sterimol_B1_Pt_N1_5.0(Å),Buried_Sterimol_B5_Pt_N1_5.0(Å),Buried_Sterimol_L_Pt_N2_5.0(Å),Buried_Sterimol_B1_Pt_N2_5.0(Å),Buried_Sterimol_B5_Pt_N2_5.0(Å),Sterimol_B1_Pt_N1(Å)_dbstep,Sterimol_B5_Pt_N1(Å)_dbstep,Sterimol_L_Pt_N1(Å)_dbstep,Sterimol_B1_Pt_N2(Å)_dbstep,Sterimol_B5_Pt_N2(Å)_dbstep,Sterimol_L_Pt_N2(Å)_dbstep,Sterimol_Bmin_Pt_N1_0.0Å(Å),Sterimol_Bmax_Pt_N1_0.0Å(Å),Sterimol_Bmin_Pt_N1_1.0Å(Å),Sterimol_Bmax_Pt_N1_1.0Å(Å),Sterimol_Bmin_Pt_N2_0.0Å(Å),Sterimol_Bmax_Pt_N2_0.0Å(Å),Sterimol_Bmin_Pt_N2_1.0Å(Å),Sterimol_Bmax_Pt_N2_1.0Å(Å),Hirsh_charge_Pt,Hirsh_CM5_charge_Pt,Hirsh_atom_dipole_Pt,Hirsh_charge_N1,Hirsh_CM5_charge_N1,Hirsh_atom_dipole_N1,Hirsh_charge_N2,Hirsh_CM5_charge_N2,Hirsh_atom_dipole_N2,G(T)_spc(Hartree)
CHEMBL1743583-conf_1,1,3,4,1.0,3.0,2.0,1.0,3.0,5.0,1.0,4.0,2.0,1.0,4.0,5.0,1.0,2.0,5.0,-0.54203,-0.35662,-0.449325,0.18541000000000002,0.54445,142.439,31.4176,4.3115,1699.136,387.5685748616471,623.526361446003,0.9106932438420436,-175.6372,211.9777,215.5408,2.09553,2.14141,94.779,99.26394628099173,97.55617252066115,97.54325929752066,98.62286756088032,85.94543560359422,87.26071103008204,95.67193087008343,75.33801400476759,77.9369040524434,88.50284196794634,66.86020778978755,70.14594204248975,75.24556203835888,58.25290174414995,61.94874619824964,5.4183751364974295,3.3033395561144587,5.095206611942235,5.43590142051886,3.2373261146951,5.631065559425323,5.4183751364974295,3.3033395561144587,5.095206611942235,5.43590142051886,3.2373261146951,5.631065559425323,3.2940314758875857,5.076662289339326,4.999999999999999,3.2331780045855485,5.615380663855301,5.0,3.2940314758875857,5.0766622893393265,3.2825465656879036,5.0766622893393265,3.2331780045855485,5.615380663855301,3.189385842803582,5.615380663855301,0.517523,0.992858,0.9928650780267176,-0.043901,-0.569349,0.5762751479883546,-0.059560,-0.576080,0.5835014383435572,-730.039879
CHEMBL1743583-conf_2,1,3,5,1.0,3.0,2.0,1.0,3.0,4.0,1.0,5.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,-0.52242,-0.36502,-0.44372,0.15739999999999998,0.62544,144.52,52.8316,0.0001,1602.09,390.0684823361742,625.1027743329792,0.9063811845653955,-182.0822,207.9249,207.9242,2.10615,2.10614,89.797,99.25103305785123,97.59491219008265,97.59491219008265,98.25498111733299,86.24983721838781,86.2514650345097,94.82270560190703,75.59222288438617,75.59501638855781,88.13711330600074,66.86079016026835,66.86195490122996,75.11987151635529,58.166780460554904,58.16561665942523,5.419961892131618,3.291001580849036,5.068660905975948,5.41995761731269,3.2909134098780832,5.068666274543274,5.419961892131618,3.291001580849036,5.068660905975948,5.41995761731269,3.2909134098780832,5.068666274543274,3.2910035164010405,5.042072986381693,4.999999999999999,3.29100351640104,5.042072986381693,4.999999999999999,3.29100351640104,5.042072986381693,3.2529232111064807,5.042072986381693,3.2910035164010396,5.042072986381693,3.2529232111064803,5.042072986381693,0.515802,0.991653,0.9916530000010084,-0.043153,-0.566774,0.5730282105943826,-0.043152,-0.566774,0.5730281019950069,-730.035034
CHEMBL1743583,1,2,3,1.0,2.0,4.0,1.0,2.0,5.0,1.0,3.0,4.0,1.0,3.0,5.0,1.0,4.0,5.0,-0.52558,-0.3664,-0.44599,0.15918000000000004,0.62479,144.037,48.3039,2.0093,1504.172,390.17877554927543,624.5256347565675,0.9055671558251137,-183.121,219.8388,215.9584,2.11887,2.1124,92.28,99.22843491735537,97.45932334710744,97.51420454545455,98.15080088553198,85.4326735251986,85.76800364630812,94.89068087008343,74.64522497020262,75.22627383790227,88.16506708907939,66.24405982109579,66.82468319045844,75.37784743343057,57.84673514989759,58.28975544658929,5.376981706733009,3.2337451550388394,5.054469033782759,5.418969360170655,3.2942811185223713,5.046807609475074,5.376981706733009,3.2337451550388394,5.054469033782759,5.418969360170655,3.2942811185223713,5.046807609475074,3.226185102677869,5.042072986381692,4.95,3.2931782239253744,5.031152949374527,5.0,3.226185102677868,5.042072986381692,3.225352077758099,5.042072986381692,3.2931782239253735,5.031152949374527,3.2931782239253735,5.031152949374527,0.517395,0.992478,0.9927019399704021,-0.046169,-0.567678,0.5736788367806503,-0.047562,-0.569946,0.5762993770159741,-730.030669
CHEMBL1743593-conf_10,1,3,5,1.0,3.0,2.0,1.0,3.0,4.0,1.0,5.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,-0.53716,-0.32731,-0.432235,0.20984999999999998,0.44514,122.742,51.1403,0.0003,1443.747,378.9398492959477,585.0294132862688,0.8926865281755016,-82.562,232.2456,237.0399,2.11284,2.10788,88.336,77.69240702479338,97.89837293388429,97.5884555785124,75.90832139601511,84.57969787732777,84.79945305378305,73.60231674612633,71.48856525625746,72.18787246722287,69.51814666418188,61.11803484904957,61.945583302273576,61.91577183290919,51.22509465582521,52.21199801377941,5.371371042029225,2.7714187511226465,4.968595298503815,5.337340737375239,2.8531843957658323,4.9692924714410465,5.371371042029225,2.7714187511226465,4.968595298503815,5.337340737375239,2.8531843957658323,4.9692924714410465,2.768159214850785,4.952019789944302,4.950000000000001,2.8196438138407713,4.952019789944301,4.9,2.4448949886337075,4.942165517260627,2.4448949886337075,4.952019789944302,2.6362772446499663,4.938117050050556,1.91216301315295,4.952019789944301,0.217983,0.564970,0.56497000001593,-0.057315,-0.576708,0.5831199905242488,-0.057905,-0.578048,0.5843192945487938,-578.427574
CHEMBL1743593-conf_1,1,2,3,1.0,2.0,4.0,1.0,2.0,5.0,1.0,3.0,4.0,1.0,3.0,5.0,1.0,4.0,5.0,-0.53539,-0.32697,-0.43118,0.20842000000000005,0.44601,123.475,49.4261,0.3724,1731.742,379.97976812873844,585.0536217634786,0.8902680053397573,-88.7898,232.0084,232.0089,2.1107,2.1107,91.713,77.49225206611571,97.4819214876033,97.4819214876033,75.22301080869906,84.21343924990234,84.21181143378044,72.63762663885578,71.35820172824792,71.35820172824792,68.66439153932166,61.21645546030563,61.21703783078644,61.12011979392962,51.51604493824096,51.51604493824096,5.376309050803478,2.0557750402631485,5.056934008907929,5.376316267417648,2.055911902960691,5.05693840560366,5.376309050803478,2.0557750402631485,5.056934008907929,5.376316267417648,2.055911902960691,5.05693840560366,2.0,5.044799302251776,4.950000000000001,2.0,5.044799302251776,4.950000000000001,1.9999999999999998,5.044799302251776,1.995951882613764,5.044799302251776,1.9999999999999998,5.044799302251776,1.9959518826137639,5.044799302251776,0.218666,0.564644,0.5653814713668993,-0.057334,-0.576718,0.5830493615921383,-0.057334,-0.576718,0.5830492872347928,-578.437289
CHEMBL1743593-conf_2,1,5,3,1.0,5.0,2.0,1.0,5.0,4.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,4.0,-0.5353,-0.32691,-0.43110499999999996,0.20839000000000002,0.44592,123.915,54.3175,0.0001,1404.443,380.0197706044878,585.1032452285758,0.8902246268767265,-89.1688,232.04,232.0394,2.1112,2.1112,88.52,77.45996900826447,97.52066115702479,97.51743285123968,75.17417632504232,84.29971350436254,84.29971350436254,72.69442789034565,71.39451728247914,71.39451728247914,68.62944931047336,61.22810286992173,61.226355758479315,61.13641300974489,51.511389733722304,51.511001800012416,5.379908363250235,2.7803937668894667,5.059418163765127,5.379906248496798,2.780644105913104,5.059425449792329,5.379908363250235,2.7803937668894667,5.059418163765127,5.379906248496798,2.780644105913104,5.059425449792329,2.75,5.042072986381693,4.950000000000001,2.75,5.042072986381693,4.950000000000001,2.5223240332248853,5.042072986381693,2.3870581651795644,5.042072986381693,2.5223240332248844,5.042072986381693,2.3870581651795657,5.042072986381693,0.218275,0.563756,0.5637560000017738,-0.057518,-0.576817,0.5831273837739058,-0.057518,-0.576817,0.5831274224275514,-578.437397
CHEMBL1743593-conf_3,1,4,5,1.0,4.0,2.0,1.0,4.0,3.0,1.0,5.0,2.0,1.0,5.0,3.0,1.0,2.0,3.0,-0.53633,-0.32714,-0.431735,0.20919,0.44552,122.962,47.8869,0.4817,1531.412,379.65981466162447,585.2410969402902,0.8912086030493491,-85.6958,234.3009,231.106,2.11242,2.11501,91.062,77.54713326446281,97.49160640495867,97.91451446280992,75.52578460737075,84.27041281416851,84.67085558015367,73.09948599523241,71.5947184147795,71.60403009535162,69.0592387253075,61.46163343272456,61.20597279165114,61.5072776363975,51.635140587176465,51.173887406120045,5.380826194752065,2.072303767344833,5.055666321639642,5.376468665046716,2.062942555697992,5.067590271132854,5.380826194752065,2.072303767344833,5.055666321639642,5.376468665046716,2.062942555697992,5.067590271132854,2.0468168876934483,5.033140172894056,4.950000000000001,2.05,5.049999999999998,4.950000000000001,1.9621727164726226,5.033140172894056,1.9621727164726226,5.033140172894056,2.05,5.049999999999998,2.043326406405991,4.957065664281643,0.218296,0.564835,0.5653553362505743,-0.058198,-0.576984,0.5833222933284824,-0.057924,-0.577056,0.5834799061235957,-578.432397
CHEMBL1743593-conf_4,1,3,5,1.0,3.0,2.0,1.0,3.0,4.0,1.0,5.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,-0.5362,-0.327,-0.4316,0.2092,0.44522,123.323,52.5817,0.2125,1154.623,379.9998135354358,585.6023574027795,0.8907775953395165,-85.7936,233.6565,234.3267,2.10848,2.11281,88.631,77.54390495867769,97.54648760330579,97.51743285123968,75.57624690714937,84.1662325823675,84.29320223987499,73.17118593563767,71.28557061978546,71.65617550655541,69.11048732761834,61.137253074916146,61.479686917629515,61.55538141642356,51.559493513748365,51.663847681708155,5.374395007956102,2.7761799233079794,5.060252299065254,5.377082926996508,2.7611492328955967,5.057077718095788,5.374395007956102,2.7761799233079794,5.060252299065254,5.377082926996508,2.7611492328955967,5.057077718095788,2.7266400069000465,5.042072986381694,4.950000000000001,2.725767386578182,5.042072986381692,4.949999999999998,2.4470277826735334,5.042072986381694,2.4448949886337075,5.042072986381694,2.482362119040432,5.042072986381692,1.9257550978358369,5.042072986381692,0.218109,0.564598,0.5646258270297243,-0.056793,-0.576483,0.5827876122731162,-0.058365,-0.577076,0.5834099335955808,-578.432478
CHEMBL1743593-conf_5,1,2,4,1.0,2.0,3.0,1.0,2.0,5.0,1.0,4.0,3.0,1.0,4.0,5.0,1.0,3.0,5.0,-0.5353,-0.32692,-0.43111,0.20838,0.44595,123.916,54.3186,0.0,1953.636,380.30977043136915,585.4353315888234,0.8898823525110935,-89.1891,232.0424,232.0397,2.11124,2.11121,88.522,77.51162190082644,97.50451962809917,97.47223657024794,75.22301080869906,84.29971350436254,84.32250293006902,72.67207985697259,71.38799910607867,71.4345575089392,68.59974841595229,61.21529071934402,61.23101472232575,61.098395506175905,51.51488113711129,51.50945006517287,5.379863596841135,2.78086356378312,5.059408555420752,5.379848483709605,2.7804293320856845,5.059416739281373,5.379863596841135,2.78086356378312,5.059408555420752,5.379848483709605,2.7804293320856845,5.059416739281373,2.75,5.042072986381693,4.950000000000001,2.75,5.042072986381693,4.950000000000001,2.5223240332248853,5.042072986381693,2.3870581651795657,5.042072986381692,2.5223240332248844,5.042072986381693,2.3870581651795666,5.042072986381692,0.218271,0.563726,0.5637260000124173,-0.057516,-0.576813,0.5831249664034288,-0.057517,-0.576815,0.5831262196231618,-578.437397
CHEMBL1743593-conf_6,1,5,2,1.0,5.0,4.0,1.0,5.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,4.0,3.0,-0.53536,-0.32763,-0.43149499999999996,0.20772999999999997,0.44815,123.112,52.3695,0.2182,1817.713,379.9597789872373,585.272295773613,0.890536674399416,-92.6291,234.8496,236.5748,2.10934,2.11464,178.675,77.37926136363636,97.5497159090909,97.61428202479338,75.45741633025133,84.2362286756088,84.62039328037505,73.18887812872468,71.44759386174016,71.9252830750894,69.02895546030562,61.203643309727916,61.78717853149459,61.26559493513748,51.39035441623735,52.160790764074235,5.372946888320451,2.4568881185961526,5.058653337180431,5.305582146888774,2.466744626522017,5.058181222697275,5.372946888320451,2.4568881185961526,5.058653337180431,5.305582146888774,2.466744626522017,5.058181222697275,2.4,5.024937810560445,4.95,2.4458833454341398,5.015974481593781,4.85,2.396763580998185,5.024937810560445,1.954629917984804,5.024937810560445,2.4164672809023195,5.015974481593781,2.3999999999999995,4.962358310319801,0.219329,0.564605,0.5647852324680596,-0.057093,-0.576511,0.5827900677379463,-0.056736,-0.575784,0.5823833261735778,-578.431808
